,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
PER,122868,0,2335530,10690,90354,684543,1013553,63341,812963,3800,91782,391047,17524074,11884,893725,28707727,9489866,934442,1362127,4081766,11258552,1516915,5122508,2258004,2346227,624483,21570082,98438219,189797287
LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3435,0,0,0,0,0,583060,0,0,96300,0,0,288603,37278,47157
CXR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRT,0,0,111614,0,0,0,1491367,0,62922601,0,0,3941,0,0,4117951,162460,103941,4550,19980,4928759,13571,0,15510,0,11193,1080733468,257402,1234610,1726021
AZE,0,135775,8400,0,103635,810,152880,718919,215041,0,0,152188,166080,0,12000,945606,2295,124245,746453,4601639,248070,111030,0,244426,25852,4106,19117756,2067270,1692162
BDI,0,41903,287225,0,0,0,22210,0,3295042,50875,0,0,0,0,0,3337904,0,0,0,0,40000,31488,0,0,34135,3726261,0,0,162684
PHL,150130,0,490575687,1223655,3013805,3149392,133389926,606065182,23061773,38540645,58762876,15815523,22690511,102019,4252810,149418971,220068714,21659339,63128850,121054484,186906034,17899396,34778644,57837535,53959945,1026787,2777099396,179331007,318861722
TJK,0,102960,0,14550,220150,0,706900,56206,13895131,0,0,604217,271795,0,38220,0,51121,6664,3350,1029837,1241609,0,84733,0,1997846,32503466,792003,1835700,1893435
MDG,0,0,108485,0,20500,0,38990,29160,73736,19473283,90530,40,15164,1109293,7794,148936,239913,1247,242255,1719518,3114297,17504,357616,0,1372923,47639016,375596,4686125,1393287
FRO,0,0,66080073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188207,1723,31083
VIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,141,7426567607,42729910,2340,53244986,6936,158427619,5309839,8670092,15013,1486677,4910174,12956258,44182,2333466,3782206,6708826,573810,4842661,40424987,22449400,152089,39823343,38,18766488,1274437,97471928,226740580,2692040309
REU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYF,0,0,1099552,0,650198,0,258809,0,0,0,0,0,0,2254,16175,1425934,0,0,390333,493090,805938,3199,0,0,90954,0,0,68317,250464
CAF,0,0,3407967,0,0,0,0,0,0,0,0,0,0,0,0,273708,0,0,0,0,61611,3830,0,0,30032,0,3412,48818,4451
HTI,0,0,2660850,0,0,0,12767581,0,66500,0,0,0,0,0,0,10526466,483659,133472,922944,5473540,1697678,31911,0,154366,16325,0,130982,1300007,2848501
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAU,0,0,2959566,13448686,96565,784266,61857151,30048433,57512093,207379,891972,29171157,1510746,319477,1360956,1459308,16239925,4464124,13335995,71298087,6073823,19905895,2457972,678,9969935,16658876,70667116,134289067,184724852
TWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT,0,60800946,66255109,4108351,5059974,161436,2718067,439076,166532,0,77085,2187904,634497,1254408,3933461,23216932,55316,22595,1581908,12602993,2694630,408773,1750245,495683,1521305,13887849,71148007,4794266,160161194
KHM,4500,5435407,2192462,734075,11249193,914906,4400796,867729,4286070,158443836,2662439,1643825,827644,207402,219473,23208754,1178311,17846,4150154,12691465,10866064,6189857,8292338,9036965,2705823,31259,5886019,12483520,18919719
HUN,0,8149178,1890965,47600,3253671,76657,1980685,654500,2027153,70120,0,3750643,739490,29250,18905,2800,98052,121481,49287,3359708,5809052,51569,663978,839449,238147,0,123644,51370882,143880092
VUT,0,0,799265,0,62216,0,0,0,0,4115343,0,5300,0,0,0,2419212,0,6232,155512,449951,255618,44171,24290,0,13931,0,2274362,3615,53344
DJI,0,0,0,0,0,0,173873,88762,1918774,0,38780,0,39660,0,302969,0,572524,269493,0,1999585,5044227,525135,0,296753,828255,4151,1373831,16784771,21580429
GEO,1536,3375752,657062,0,0,0,3101635,936791,1050140,0,0,525969,334632,0,51206,1738897,460552,15979,1571765,4968623,702435,3833661,284977,1345875,524542,1800,403467,6595555,11677842
IDN,138018,43646,70362078,773400,37400968,820891,505829307,673108432,19091804,815831,89759318,22228452,37408907,283016,11895209,39945300,173844720,9332415,22880780,126801896,138447342,2523093,102762309,161766856,94994579,31218971,561342798,466969118,1259582048
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWI,0,0,192675,0,0,18181,45776,0,1585368,0,0,0,0,9200,0,1638660,0,0,3707,0,5920,0,0,9624344,15942,0,144317,684758,1058112
FJI,0,0,30855044,0,0,0,2312231,43771,8155,2966160,0,0,990,1462,11549,10683771,20872,131514,253656,2839038,2087555,3392702,9214,0,419759,3203172,62864,1882024,801017
LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIR,0,0,532489,0,0,0,0,0,0,1651207,0,5661,0,0,7966,3180327,16416,0,617336,109832,985540,193448,0,0,818610,0,1170321,44519,120
